port,header,data_size,bit_start,bit_end,type,parameter_name,group_name,coefficient,round
10,0x01 0xBA,1,0,6,unsigned,voltage,battery1_status,0.01,3
10,0x01 0xBA,1,7,7,unsigned,eos_alert,battery1_status,1,
10,0x02 0xBA,1,0,6,unsigned,voltage,battery2_status,0.01,3
10,0x02 0xBA,1,7,7,unsigned,eos_alert,battery2_status,1,
10,0x00 0x85,7,48,55,unsigned,second,utc,1,
10,0x00 0x85,7,40,47,unsigned,minute,utc,1,
10,0x00 0x85,7,32,39,unsigned,hour,utc,1,
10,0x00 0x85,7,24,31,unsigned,day,utc,1,
10,0x00 0x85,7,16,23,unsigned,month,utc,1,
10,0x00 0x85,7,0,15,unsigned,year,utc,1,
10,0x00 0x88,9,56,71,signed,altitude,coordinates,0.5,3
10,0x00 0x88,9,24,55,signed,longitude,coordinates,0.5,3
10,0x00 0x88,9,0,23,signed,latitude,coordinates,0.5,3
10,0x00 0x92,2,0,15,unsigned,ground_speed,,0.1,3
10,0x00 0x04,1,0,7,unsigned,fsm_state,,1,
10,0x01 0x95,1,0,1,unsigned,num0,geofence_status,1,
10,0x01 0x95,1,2,3,unsigned,num1,geofence_status,1,
10,0x01 0x95,1,4,5,unsigned,num2,geofence_status,1,
10,0x01 0x95,1,6,7,unsigned,num3,geofence_status,1,
10,0x00 0x00,1,0,15,unsigned,acceleration_alarm,,1,
10,0x00 0x71,6,0,15,signed,xaxis,acceleration_vector,0.001,3
10,0x00 0x71,6,16,31,signed,yaxis,acceleration_vector,0.001,3
10,0x00 0x71,6,32,47,signed,zaxis,acceleration_vector,0.001,3
10,0x00 0x67,2,0,15,signed,temperature,,0.1,3
15,0x01,8,0,7,unsigned,log_fragment_number,,1,
15,0x01,8,8,23,unsigned,year,utc,1,
15,0x01,8,24,31,unsigned,month,utc,1,
15,0x01,8,32,39,unsigned,day,utc,1,
15,0x01,8,40,47,unsigned,hour,utc,1,
15,0x01,8,48,55,unsigned,minute,utc,1,
15,0x01,8,56,63,unsigned,second,utc,1,
15,0x02,10,0,7,unsigned,log_fragment_number,,1,
15,0x02,10,8,31,unsigned,latitude,position_coordinates,1,
15,0x02,10,32,63,unsigned,longitude,position_coordinates,1,
15,0x02,10,64,79,unsigned,altitude,position_coordinates,1,
15,0x03,17,0,7,unsigned,log_fragment_number,utc,1,
15,0x03,17,8,23,unsigned,year,utc,1,
15,0x03,17,24,31,unsigned,month,utc,1,
15,0x03,17,32,39,unsigned,day,utc,1,
15,0x03,17,40,47,unsigned,hour,utc,1,
15,0x03,17,48,55,unsigned,minute,utc,1,
15,0x03,17,56,63,unsigned,second,utc,1,
15,0x03,17,64,87,unsigned,latitude,position_coordinates,1,
15,0x03,17,88,119,unsigned,longitude,position_coordinates,1,
15,0x03,17,120,135,unsigned,altitude,position_coordinates,1,
25,0x0A,7,0,47,hexstring,bd_addr,basic,1,
25,0x0A,7,48,55,unsigned,rssi,basic,1,
25,0xB0,4,0,23,hexstring,bd_addr_lap,whitelist_range_0,1,
25,0xB0,4,23,31,unsigned,rssi,whitelist_range_0,1,
25,0xB1,4,0,23,hexstring,bd_addr_lap,whitelist_range_1,1,
25,0xB1,4,24,31,unsigned,rssi,whitelist_range_1,1,
25,0xB2,4,0,23,hexstring,bd_addr_lap,whitelist_range_2,1,
25,0xB2,4,24,31,unsigned,rssi,whitelist_range_2,1,
25,0xB3,4,0,23,hexstring,bd_addr_lap,whitelist_range_3,1,
25,0xB3,4,24,31,unsigned,rssi,whitelist_range_3,1,
100,0x00,0,0,0,hexstring,device_eui,,1,
100,0x01,0,0,0,hexstring,app_eui,,1,
100,0x02,0,0,0,hexstring,app_key,,1,
100,0x03,0,0,0,hexstring,device_address,,1,
100,0x04,0,0,0,hexstring,network_session_key,,1,
100,0x05,0,0,0,hexstring,app_session_key,,1,
100,0x10,2,7,7,unsigned,loramac_otaa,loramac_join_mode,1,
100,0x11,2,8,8,unsigned,loramac_confirm_mode,loramac_opts,1,
100,0x11,2,10,10,unsigned,loramac_networks,loramac_opts,1,
100,0x11,2,11,11,unsigned,loramac_duty_cycle,loramac_opts,1,
100,0x12,2,0,3,unsigned,loramac_adr,loramac_dr_tx_power,1,
100,0x12,2,8,11,unsigned,loramac_dr_number,loramac_dr_tx_power,1,
100,0x13,5,0,31,unsigned,loramac_tx_power,loramac_rx2,1,
100,0x13,5,32,39,unsigned,loramac_rx2_frequency,loramac_rx2,1,
100,0x19,2,0,15,unsigned,loramac_rx2_dr,,1,
100,0x1A,2,0,15,unsigned,loramac_net_id_msb,,1,
100,0x20,4,0,31,unsigned,loramac_net_id_lsb,,1,
100,0x21,2,0,15,unsigned,tick_seconds,,1,
100,0x26,2,0,15,unsigned,tick_acceleration,,1,
100,0x27,2,0,15,unsigned,tick_mcu_temperature,,1,
100,0x30,2,0,15,unsigned,acceleration_impact_threshold,,1,
100,0x31,2,0,15,unsigned,acceleration_impact_count_threshold,,1,
100,0x32,1,0,0,unsigned,acceleration_report_alarm,value_to_transmit,1,
100,0x32,1,1,1,unsigned,acceleration_report_magnitude,value_to_transmit,1,
100,0x32,1,2,2,unsigned,acceleration_report_full_precision,value_to_transmit,1,
100,0x33,2,0,15,unsigned,acceleration_impact_grace_period,,1,
100,0x34,1,0,0,unsigned,acceleration_impact_threshold_switch,accel_modes,1,
100,0x34,1,7,7,unsigned,accelerometer_enable,accel_modes,1,
100,0x35,1,0,2,unsigned,transducer_sample_rate_val,,1,
100,0x36,2,0,15,unsigned,acceleration_impact_threshold_period,,1,
100,0x40,4,0,31,unsigned,mcu_temperature_sample_period_idle,,1,
100,0x41,4,0,31,unsigned,mcu_temperature_sample_period_active,,1,
100,0x42,2,0,7,signed,mcu_temperature_high_threshold,mcu_temp_threshold,1,
100,0x42,2,8,15,signed,mcu_temperature_low_threshold,mcu_temp_threshold,1,
100,0x43,1,0,7,unsigned,mcu_temp_threshold_enable,,1,
100,0x70,2,5,5,unsigned,app_configuration,write_to_flash,1,
100,0x70,2,6,6,unsigned,lora_configuration,write_to_flash,1,
100,0x70,2,8,8,unsigned,restart_sensor,write_to_flash,1,
100,0x71,7,0,7,unsigned,app_major_version,firmware_version,1,
100,0x71,7,8,15,unsigned,app_minor_version,firmware_version,1,
100,0x71,7,16,23,unsigned,app_revision,firmware_version,1,
100,0x71,7,24,31,unsigned,loramac_major_version,firmware_version,1,
100,0x71,7,32,39,unsigned,loramac_minor_version,firmware_version,1,
100,0x71,7,40,47,unsigned,loramac_revision,firmware_version,1,
100,0x71,7,48,55,unsigned,region,firmware_version,1,
100,0x72,1,0,7,unsigned,configuration_factory_reset,,1,
